Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
19/12/2003,ABRDN PROPERTY INCOME TRUST LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,25.92
19/08/1993,ABRDN UK SMALLER COMPANIES GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,346.39
19/07/2021,ACCELER8 VENTURES PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,0.75
24/04/2002,ACCESSO TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,202.99
26/10/2005,ACCSYS TECHNOLOGIES PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,104.7
02/11/1995,ACER INCORPORATED,Technology,Technology,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
07/10/2022,ACG METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,MAIN MARKET ,Yes,78.62
06/10/1997,ACTIVE ENERGY GROUP PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,0.65
29/03/2021,ACTIVEOPS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,74.22
02/06/1997,ACUITY RM GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,2.63
